file,agent_type,reassurance_type,condition,confidence_t2,toc,accuracy
2026-04-17T23-17-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep2.json,jtc,calibrated,jtc / calibrated,72.0,3.0,1.0
2026-04-17T23-19-21__openai_gpt_5_4__jtc__calibrated__sequence_2__rep6.json,jtc,calibrated,jtc / calibrated,64.0,3.0,1.0
2026-04-17T23-28-53__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep7.json,nonjtc,miscalibrated,nonjtc / miscalibrated,28.0,4.0,1.0
2026-04-17T23-20-01__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep2.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,1.0
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,nonjtc,calibrated,nonjtc / calibrated,36.0,5.0,1.0
2026-04-17T23-18-11__openai_gpt_5_4__jtc__calibrated__sequence_1__rep7.json,jtc,calibrated,jtc / calibrated,68.0,3.0,1.0
2026-04-17T23-20-55__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep2.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,0.0
2026-04-17T23-20-05__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep3.json,jtc,miscalibrated,jtc / miscalibrated,68.0,2.0,1.0
2026-04-17T23-19-29__openai_gpt_5_4__jtc__calibrated__sequence_2__rep7.json,jtc,calibrated,jtc / calibrated,68.0,3.0,1.0
2026-04-17T23-19-38__openai_gpt_5_4__jtc__calibrated__sequence_2__rep8.json,jtc,calibrated,jtc / calibrated,68.0,3.0,1.0
2026-04-17T23-26-09__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep2.json,nonjtc,miscalibrated,nonjtc / miscalibrated,32.0,4.0,1.0
2026-04-17T23-18-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep10.json,jtc,calibrated,jtc / calibrated,72.0,3.0,1.0
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,nonjtc,calibrated,nonjtc / calibrated,38.0,5.0,1.0
2026-04-17T23-20-59__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep3.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,0.0
2026-04-17T23-17-28__openai_gpt_5_4__jtc__calibrated__sequence_1__rep1.json,jtc,calibrated,jtc / calibrated,67.0,3.0,1.0
2026-04-17T23-19-51__openai_gpt_5_4__jtc__calibrated__sequence_2__rep10.json,jtc,calibrated,jtc / calibrated,64.0,3.0,0.0
2026-04-17T23-25-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep10.json,nonjtc,calibrated,nonjtc / calibrated,42.0,4.0,1.0
2026-04-17T23-20-10__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep4.json,jtc,miscalibrated,jtc / miscalibrated,82.0,2.0,1.0
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,nonjtc,calibrated,nonjtc / calibrated,34.0,5.0,1.0
2026-04-17T23-21-05__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep4.json,jtc,miscalibrated,jtc / miscalibrated,83.0,2.0,0.0
2026-04-17T23-27-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep10.json,nonjtc,miscalibrated,nonjtc / miscalibrated,32.0,4.0,1.0
2026-04-17T23-20-15__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep5.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,1.0
2026-04-17T23-19-13__openai_gpt_5_4__jtc__calibrated__sequence_2__rep5.json,jtc,calibrated,jtc / calibrated,66.0,3.0,1.0
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,nonjtc,miscalibrated,nonjtc / miscalibrated,62.0,5.0,1.0
2026-04-17T23-24-29__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep4.json,nonjtc,calibrated,nonjtc / calibrated,28.0,4.0,1.0
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,nonjtc,calibrated,nonjtc / calibrated,30.0,5.0,1.0
2026-04-17T23-24-08__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep2.json,nonjtc,calibrated,nonjtc / calibrated,56.0,4.0,1.0
2026-04-17T23-28-13__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep3.json,nonjtc,miscalibrated,nonjtc / miscalibrated,62.0,4.0,1.0
2026-04-17T23-20-36__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep9.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,1.0
2026-04-17T23-25-58__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep1.json,nonjtc,miscalibrated,nonjtc / miscalibrated,32.0,4.0,1.0
2026-04-17T23-28-22__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep4.json,nonjtc,miscalibrated,nonjtc / miscalibrated,58.0,4.0,1.0
2026-04-17T23-19-56__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep1.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,1.0
2026-04-17T23-28-03__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep2.json,nonjtc,miscalibrated,nonjtc / miscalibrated,58.0,4.0,1.0
2026-04-17T23-17-42__openai_gpt_5_4__jtc__calibrated__sequence_1__rep3.json,jtc,calibrated,jtc / calibrated,68.0,3.0,1.0
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,nonjtc,calibrated,nonjtc / calibrated,34.0,5.0,1.0
2026-04-17T23-17-50__openai_gpt_5_4__jtc__calibrated__sequence_1__rep4.json,jtc,calibrated,jtc / calibrated,64.0,3.0,1.0
2026-04-17T23-19-43__openai_gpt_5_4__jtc__calibrated__sequence_2__rep9.json,jtc,calibrated,jtc / calibrated,68.0,2.0,0.0
2026-04-17T23-26-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep5.json,nonjtc,miscalibrated,nonjtc / miscalibrated,62.0,4.0,1.0
2026-04-17T23-20-40__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep10.json,jtc,miscalibrated,jtc / miscalibrated,82.0,2.0,1.0
2026-04-17T23-20-21__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep6.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,1.0
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,nonjtc,miscalibrated,nonjtc / miscalibrated,58.0,5.0,1.0
2026-04-17T23-29-15__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep9.json,nonjtc,miscalibrated,nonjtc / miscalibrated,32.0,4.0,1.0
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,nonjtc,miscalibrated,nonjtc / miscalibrated,30.0,5.0,1.0
2026-04-17T23-21-19__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep7.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,0.0
2026-04-17T23-27-07__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep7.json,nonjtc,miscalibrated,nonjtc / miscalibrated,62.0,4.0,1.0
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,nonjtc,calibrated,nonjtc / calibrated,34.0,5.0,1.0
2026-04-17T23-25-34__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep9.json,nonjtc,calibrated,nonjtc / calibrated,60.0,4.0,1.0
2026-04-17T23-21-14__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep6.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,0.0
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,nonjtc,calibrated,nonjtc / calibrated,28.0,5.0,1.0
2026-04-17T23-29-04__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep8.json,nonjtc,miscalibrated,nonjtc / miscalibrated,32.0,4.0,1.0
2026-04-17T23-27-29__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep9.json,nonjtc,miscalibrated,nonjtc / miscalibrated,28.0,4.0,1.0
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,nonjtc,calibrated,nonjtc / calibrated,34.0,5.0,1.0
2026-04-17T23-18-49__openai_gpt_5_4__jtc__calibrated__sequence_2__rep2.json,jtc,calibrated,jtc / calibrated,67.0,3.0,1.0
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,nonjtc,calibrated,nonjtc / calibrated,24.0,5.0,1.0
2026-04-17T23-18-04__openai_gpt_5_4__jtc__calibrated__sequence_1__rep6.json,jtc,calibrated,jtc / calibrated,68.0,3.0,1.0
2026-04-17T23-20-49__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep1.json,jtc,miscalibrated,jtc / miscalibrated,84.0,3.0,1.0
2026-04-17T23-28-43__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep6.json,nonjtc,miscalibrated,nonjtc / miscalibrated,30.0,4.0,1.0
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,nonjtc,calibrated,nonjtc / calibrated,24.0,5.0,1.0
2026-04-17T23-23-56__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep1.json,nonjtc,calibrated,nonjtc / calibrated,34.0,4.0,1.0
2026-04-17T23-21-35__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep10.json,jtc,miscalibrated,jtc / miscalibrated,82.0,2.0,1.0
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,nonjtc,calibrated,nonjtc / calibrated,34.0,5.0,1.0
2026-04-17T23-27-52__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep1.json,nonjtc,miscalibrated,nonjtc / miscalibrated,32.0,4.0,1.0
2026-04-17T23-20-26__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep7.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,1.0
2026-04-17T23-18-42__openai_gpt_5_4__jtc__calibrated__sequence_2__rep1.json,jtc,calibrated,jtc / calibrated,64.0,3.0,0.0
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,nonjtc,calibrated,nonjtc / calibrated,34.0,5.0,1.0
2026-04-17T23-18-26__openai_gpt_5_4__jtc__calibrated__sequence_1__rep9.json,jtc,calibrated,jtc / calibrated,64.0,3.0,1.0
