file,model,agent_type,reassurance_type,sequence,turn_index,confidence,accuracy,toc_turn,condition
2026-04-17T23-01-16__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep4.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,4,70.0,1.0,5,jtc / miscalibrated
2026-04-17T23-01-16__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep4.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,5,85.0,1.0,5,jtc / miscalibrated
2026-04-17T23-21-24__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep8.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,1,58.0,0.0,2,jtc / miscalibrated
2026-04-17T23-21-24__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep8.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,2,84.0,0.0,2,jtc / miscalibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,1,52.0,1.0,4,nonjtc / calibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,2,58.0,1.0,4,nonjtc / calibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,3,68.0,1.0,4,nonjtc / calibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,4,84.0,1.0,4,nonjtc / calibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,1,18.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,2,32.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,3,58.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,4,84.0,1.0,4,nonjtc / miscalibrated
2026-04-17T22-30-10__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,1,15.0,1.0,6,nonjtc / calibrated
2026-04-17T22-30-10__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,2,25.0,1.0,6,nonjtc / calibrated
2026-04-17T22-30-10__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,3,35.0,1.0,6,nonjtc / calibrated
2026-04-17T22-30-10__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,4,45.0,1.0,6,nonjtc / calibrated
2026-04-17T22-30-10__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,5,60.0,1.0,6,nonjtc / calibrated
2026-04-17T22-30-10__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,6,70.0,1.0,6,nonjtc / calibrated
2026-04-17T22-17-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,1,45.0,1.0,6,jtc / calibrated
2026-04-17T22-17-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,2,55.0,1.0,6,jtc / calibrated
2026-04-17T22-17-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,3,65.0,1.0,6,jtc / calibrated
2026-04-17T22-17-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,4,75.0,1.0,6,jtc / calibrated
2026-04-17T22-17-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,5,82.0,1.0,6,jtc / calibrated
2026-04-17T22-17-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,6,87.0,1.0,6,jtc / calibrated
2026-04-17T22-15-58__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,1,45.0,1.0,5,jtc / calibrated
2026-04-17T22-15-58__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,2,55.0,1.0,5,jtc / calibrated
2026-04-17T22-15-58__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,3,65.0,1.0,5,jtc / calibrated
2026-04-17T22-15-58__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,4,75.0,1.0,5,jtc / calibrated
2026-04-17T22-15-58__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,5,82.0,1.0,5,jtc / calibrated
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,openai/gpt-5.4,jtc,calibrated,sequence_2,1,58.0,1.0,3,jtc / calibrated
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,openai/gpt-5.4,jtc,calibrated,sequence_2,2,67.0,1.0,3,jtc / calibrated
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,openai/gpt-5.4,jtc,calibrated,sequence_2,3,82.0,1.0,3,jtc / calibrated
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,openai/gpt-5.4,jtc,calibrated,sequence_1,1,52.0,1.0,3,jtc / calibrated
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,openai/gpt-5.4,jtc,calibrated,sequence_1,2,68.0,1.0,3,jtc / calibrated
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,openai/gpt-5.4,jtc,calibrated,sequence_1,3,86.0,1.0,3,jtc / calibrated
2026-04-17T22-37-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,1,15.0,1.0,6,nonjtc / calibrated
2026-04-17T22-37-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,2,25.0,1.0,6,nonjtc / calibrated
2026-04-17T22-37-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,3,40.0,1.0,6,nonjtc / calibrated
2026-04-17T22-37-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,4,55.0,1.0,6,nonjtc / calibrated
2026-04-17T22-37-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,5,65.0,1.0,6,nonjtc / calibrated
2026-04-17T22-37-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,6,72.0,1.0,6,nonjtc / calibrated
2026-04-17T23-20-31__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,1,55.0,1.0,2,jtc / miscalibrated
2026-04-17T23-20-31__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,2,82.0,1.0,2,jtc / miscalibrated
2026-04-17T23-03-47__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep10.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,1,20.0,1.0,5,jtc / miscalibrated
2026-04-17T23-03-47__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep10.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,2,35.0,1.0,5,jtc / miscalibrated
2026-04-17T23-03-47__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep10.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,3,45.0,1.0,5,jtc / miscalibrated
2026-04-17T23-03-47__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep10.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,4,65.0,1.0,5,jtc / miscalibrated
2026-04-17T23-03-47__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep10.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,5,80.0,1.0,5,jtc / miscalibrated
2026-04-17T23-11-49__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep5.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,1,50.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-11-49__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep5.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,2,60.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-11-49__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep5.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,3,65.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-11-49__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep5.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,4,70.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-11-49__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep5.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,5,75.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-11-49__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep5.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,6,85.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-14-02__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,1,10.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-14-02__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,2,25.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-14-02__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,3,35.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-14-02__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,4,50.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-14-02__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,5,60.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-14-02__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,6,70.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,jtc,calibrated,sequence_2,1,62.0,1.0,3,jtc / calibrated
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,jtc,calibrated,sequence_2,2,68.0,1.0,3,jtc / calibrated
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,jtc,calibrated,sequence_2,3,84.0,1.0,3,jtc / calibrated
2026-04-17T22-40-44__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,1,15.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-44__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,2,25.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-44__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,3,35.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-44__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,4,42.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-44__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,5,52.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-44__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,6,60.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-44-01__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,1,25.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-44-01__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,2,45.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-44-01__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,3,50.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-44-01__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,4,60.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-44-01__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,5,68.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-44-01__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,6,73.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-12-11__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep6.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,1,20.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-12-11__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep6.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,2,35.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-12-11__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep6.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,3,40.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-12-11__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep6.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,4,55.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-12-11__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep6.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,5,65.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-12-11__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep6.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,6,75.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-17__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,1,15.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-17__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,2,25.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-17__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,3,35.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-17__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,4,45.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-17__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,5,55.0,1.0,6,nonjtc / miscalibrated
2026-04-17T22-40-17__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,6,65.0,1.0,6,nonjtc / miscalibrated
2026-04-17T23-21-29__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep9.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,1,58.0,0.0,2,jtc / miscalibrated
2026-04-17T23-21-29__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep9.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,2,83.0,0.0,2,jtc / miscalibrated
2026-04-17T22-27-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,1,45.0,1.0,6,jtc / miscalibrated
2026-04-17T22-27-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,2,62.0,1.0,6,jtc / miscalibrated
2026-04-17T22-27-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,3,55.0,1.0,6,jtc / miscalibrated
2026-04-17T22-27-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,4,60.0,1.0,6,jtc / miscalibrated
2026-04-17T22-27-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,5,70.0,1.0,6,jtc / miscalibrated
2026-04-17T22-27-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,6,75.0,1.0,6,jtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,1,18.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,2,38.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,3,58.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,4,84.0,1.0,4,nonjtc / miscalibrated
2026-04-17T22-33-14__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,1,15.0,1.0,6,nonjtc / calibrated
2026-04-17T22-33-14__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,2,25.0,1.0,6,nonjtc / calibrated
2026-04-17T22-33-14__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,3,40.0,1.0,6,nonjtc / calibrated
2026-04-17T22-33-14__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,4,50.0,1.0,6,nonjtc / calibrated
2026-04-17T22-33-14__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,5,62.0,1.0,6,nonjtc / calibrated
2026-04-17T22-33-14__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,6,72.0,1.0,6,nonjtc / calibrated
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,1,18.0,1.0,4,nonjtc / calibrated
