file,condition,agent_type,reassurance_type,sequence,confidence_t1,confidence_t2,early_gain,volatility,toc,accuracy
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,34.0,16.0,16.5,5,1
2026-04-17T23-25-34__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep9.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,52.0,60.0,8.0,11.333333333333334,4,1
2026-04-17T23-21-14__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep6.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,60.0,84.0,24.0,24.0,2,0
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,28.0,10.0,17.0,5,1
2026-04-17T23-29-04__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep8.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,32.0,14.0,22.0,4,1
2026-04-17T23-27-29__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep9.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,28.0,10.0,22.666666666666668,4,1
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,34.0,16.0,16.75,5,1
2026-04-17T23-18-49__openai_gpt_5_4__jtc__calibrated__sequence_2__rep2.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,67.0,9.0,12.5,3,1
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,18.0,24.0,6.0,17.0,5,1
2026-04-17T23-18-04__openai_gpt_5_4__jtc__calibrated__sequence_1__rep6.json,jtc / calibrated,jtc,calibrated,sequence_1,52.0,68.0,16.0,17.0,3,1
2026-04-17T23-20-49__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep1.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,58.0,84.0,26.0,15.0,3,1
2026-04-17T23-28-43__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep6.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,30.0,12.0,22.0,4,1
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,18.0,24.0,6.0,16.5,5,1
2026-04-17T23-23-56__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep1.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,18.0,34.0,16.0,22.666666666666668,4,1
2026-04-17T23-21-35__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep10.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,58.0,82.0,24.0,24.0,2,1
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,34.0,16.0,17.0,5,1
2026-04-17T23-27-52__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep1.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,32.0,14.0,22.0,4,1
2026-04-17T23-20-26__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep7.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,58.0,84.0,26.0,26.0,2,1
2026-04-17T23-18-42__openai_gpt_5_4__jtc__calibrated__sequence_2__rep1.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,64.0,6.0,13.0,3,0
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,34.0,16.0,17.5,5,1
2026-04-17T23-18-26__openai_gpt_5_4__jtc__calibrated__sequence_1__rep9.json,jtc / calibrated,jtc,calibrated,sequence_1,52.0,64.0,12.0,16.0,3,1
